date,hits,keyword
2020-03-08,19,poncho cape
2020-03-15,17,poncho cape
2020-03-22,16,poncho cape
2020-03-29,23,poncho cape
2020-04-05,13,poncho cape
2020-04-12,19,poncho cape
2020-04-19,19,poncho cape
2020-04-26,22,poncho cape
2020-05-03,19,poncho cape
2020-05-10,22,poncho cape
2020-05-17,20,poncho cape
2020-05-24,17,poncho cape
2020-05-31,28,poncho cape
2020-06-07,23,poncho cape
2020-06-14,0,poncho cape
2020-06-21,22,poncho cape
2020-06-28,17,poncho cape
2020-07-05,0,poncho cape
2020-07-12,15,poncho cape
2020-07-19,20,poncho cape
2020-07-26,32,poncho cape
2020-08-02,37,poncho cape
2020-08-09,36,poncho cape
2020-08-16,37,poncho cape
2020-08-23,29,poncho cape
2020-08-30,32,poncho cape
2020-09-06,33,poncho cape
2020-09-13,46,poncho cape
2020-09-20,54,poncho cape
2020-09-27,62,poncho cape
2020-10-04,64,poncho cape
2020-10-11,57,poncho cape
2020-10-18,63,poncho cape
2020-10-25,74,poncho cape
2020-11-01,51,poncho cape
2020-11-08,60,poncho cape
2020-11-15,67,poncho cape
2020-11-22,74,poncho cape
2020-11-29,67,poncho cape
2020-12-06,85,poncho cape
2020-12-13,74,poncho cape
2020-12-20,61,poncho cape
2020-12-27,60,poncho cape
2021-01-03,46,poncho cape
2021-01-10,46,poncho cape
2021-01-17,32,poncho cape
2021-01-24,20,poncho cape
2021-01-31,43,poncho cape
2021-02-07,38,poncho cape
2021-02-14,32,poncho cape
2021-02-21,31,poncho cape
2021-02-28,19,poncho cape
2021-03-07,26,poncho cape
2021-03-14,26,poncho cape
2021-03-21,25,poncho cape
2021-03-28,21,poncho cape
2021-04-04,23,poncho cape
2021-04-11,22,poncho cape
2021-04-18,22,poncho cape
2021-04-25,27,poncho cape
2021-05-02,26,poncho cape
2021-05-09,21,poncho cape
2021-05-16,20,poncho cape
2021-05-23,23,poncho cape
2021-05-30,0,poncho cape
2021-06-06,0,poncho cape
2021-06-13,19,poncho cape
2021-06-20,18,poncho cape
2021-06-27,0,poncho cape
2021-07-04,24,poncho cape
2021-07-11,37,poncho cape
2021-07-18,24,poncho cape
2021-07-25,21,poncho cape
2021-08-01,0,poncho cape
2021-08-08,26,poncho cape
2021-08-15,35,poncho cape
2021-08-22,41,poncho cape
2021-08-29,53,poncho cape
2021-09-05,34,poncho cape
2021-09-12,37,poncho cape
2021-09-19,44,poncho cape
2021-09-26,52,poncho cape
2021-10-03,57,poncho cape
2021-10-10,72,poncho cape
2021-10-17,80,poncho cape
2021-10-24,94,poncho cape
2021-10-31,59,poncho cape
2021-11-07,87,poncho cape
2021-11-14,87,poncho cape
2021-11-21,91,poncho cape
2021-11-28,73,poncho cape
2021-12-05,98,poncho cape
2021-12-12,75,poncho cape
2021-12-19,72,poncho cape
2021-12-26,52,poncho cape
2022-01-02,57,poncho cape
2022-01-09,52,poncho cape
2022-01-16,35,poncho cape
2022-01-23,44,poncho cape
2022-01-30,58,poncho cape
2022-02-06,41,poncho cape
2022-02-13,37,poncho cape
2022-02-20,34,poncho cape
2022-02-27,45,poncho cape
2022-03-06,42,poncho cape
2022-03-13,34,poncho cape
2022-03-20,37,poncho cape
2022-03-27,28,poncho cape
2022-04-03,32,poncho cape
2022-04-10,33,poncho cape
2022-04-17,31,poncho cape
2022-04-24,21,poncho cape
2022-05-01,26,poncho cape
2022-05-08,23,poncho cape
2022-05-15,0,poncho cape
